character,Collection,cur_price,CS_Rarity
3151,Bored Stickers,63.0,Consumer Grade (Light Blue)
Sloth Capital,Lazy & Rich,62.0,Consumer Grade (Light Blue)
,Love Candle,58.0,Consumer Grade (Light Blue)
2092,Bored Stickers,57.0,Consumer Grade (Light Blue)
CNY 2092,Bored Stickers,54.0,Consumer Grade (Light Blue)
,Sleigh Bell,52.0,Consumer Grade (Light Blue)
,Skull Flower,46.0,Consumer Grade (Light Blue)
Doo Doo Moods,Baby Shark,45.0,Consumer Grade (Light Blue)
Smileface pack,Not Pixel,45.0,Consumer Grade (Light Blue)
,Top Hat,45.0,Consumer Grade (Light Blue)
,Crystal Ball,44.0,Consumer Grade (Light Blue)
Not Memes,Notcoin,44.0,Consumer Grade (Light Blue)
Doodles Dark Mode,Doodles,43.0,Consumer Grade (Light Blue)
Red Rex Pack,Claynosaurz,43.0,Consumer Grade (Light Blue)
,Trapped Heart,42.0,Consumer Grade (Light Blue)
,Record Player,41.0,Consumer Grade (Light Blue)
,Flying Broom,41.0,Consumer Grade (Light Blue)
Princess,DOGS OG,40.0,Consumer Grade (Light Blue)
Tournament S1,Not Pixel,39.0,Consumer Grade (Light Blue)
,Love Potion,38.0,Consumer Grade (Light Blue)
Films memes,Not Pixel,37.0,Consumer Grade (Light Blue)
Frog Glasses,DOGS OG,37.0,Consumer Grade (Light Blue)
King,DOGS OG,37.0,Consumer Grade (Light Blue)
Blush Flight,Flappy Bird,34.0,Consumer Grade (Light Blue)
Chill or thrill,Lazy & Rich,34.0,Consumer Grade (Light Blue)
Unicorn,DOGS OG,32.0,Consumer Grade (Light Blue)
,Bow Tie,31.0,Consumer Grade (Light Blue)
9765,Bored Stickers,30.0,Consumer Grade (Light Blue)
Light Glide,Flappy Bird,30.0,Consumer Grade (Light Blue)
9287,Bored Stickers,30.0,Consumer Grade (Light Blue)
4017,Bored Stickers,30.0,Consumer Grade (Light Blue)
5824,Bored Stickers,30.0,Consumer Grade (Light Blue)
Frost Flap,Flappy Bird,28.0,Consumer Grade (Light Blue)
Frog Hat,DOGS OG,28.0,Consumer Grade (Light Blue)
Blue Wings,Flappy Bird,28.0,Consumer Grade (Light Blue)
,Hanging Star,28.0,Consumer Grade (Light Blue)
Ric Flair,Ric Flair,27.0,Consumer Grade (Light Blue)
TO THE SUN,SUNDOG,27.0,Consumer Grade (Light Blue)
Google Intern Hat,DOGS OG,26.0,Consumer Grade (Light Blue)
Ruby Wings,Flappy Bird,26.0,Consumer Grade (Light Blue)
,Sakura Flower,26.0,Consumer Grade (Light Blue)
Viking,DOGS OG,26.0,Consumer Grade (Light Blue)
KFC,DOGS OG,25.0,Consumer Grade (Light Blue)
Knitted Hat,DOGS OG,25.0,Consumer Grade (Light Blue)
Orange Hat,DOGS OG,25.0,Consumer Grade (Light Blue)
,Bunny Muffin,24.0,Consumer Grade (Light Blue)
Toast Bread,DOGS OG,23.0,Consumer Grade (Light Blue)
Duck,DOGS OG,23.0,Consumer Grade (Light Blue)
Pink Bob,DOGS OG,23.0,Consumer Grade (Light Blue)
Shaggy,DOGS OG,22.0,Consumer Grade (Light Blue)
Hello Kitty,DOGS OG,22.0,Consumer Grade (Light Blue)
Santa Dogs,DOGS OG,22.0,Consumer Grade (Light Blue)
,Snow Globe,22.0,Consumer Grade (Light Blue)
,Berry Box,22.0,Consumer Grade (Light Blue)
Newsboy Cap,DOGS OG,21.0,Consumer Grade (Light Blue)
Pixel phrases,Not Pixel,21.0,Consumer Grade (Light Blue)
Not Coin,DOGS OG,21.0,Consumer Grade (Light Blue)
,Eternal Candle ,21.0,Consumer Grade (Light Blue)
,Jelly Bunny,21.0,Consumer Grade (Light Blue)
,Snow Mittens,21.0,Consumer Grade (Light Blue)
,Tama Gadget,20.0,Consumer Grade (Light Blue)
Sharky Dog,DOGS OG,20.0,Consumer Grade (Light Blue)
,Easter Egg,20.0,Consumer Grade (Light Blue)
WAGMI AI AGENT,WAGMI HUB,20.0,Consumer Grade (Light Blue)
Noodles,DOGS OG,20.0,Consumer Grade (Light Blue)
Retro Pixel,Not Pixel,20.0,Consumer Grade (Light Blue)
Ice Cream,DOGS OG,20.0,Consumer Grade (Light Blue)
Error Pixel,Not Pixel,18.0,Consumer Grade (Light Blue)
,Restless Jar,17.0,Consumer Grade (Light Blue)
,Holiday Drink,16.0,Consumer Grade (Light Blue)
Mememania,BabyDoge,16.0,Consumer Grade (Light Blue)
,Big Year,16.0,Consumer Grade (Light Blue)
,Light Sword,16.0,Consumer Grade (Light Blue)
,Star Notepad,15.0,Consumer Grade (Light Blue)
,Hex Pot,15.0,Consumer Grade (Light Blue)
,Jack-in-the-Box,14.0,Consumer Grade (Light Blue)
The Memes,Smeshariki,14.0,Consumer Grade (Light Blue)
,Evil Eye,14.0,Consumer Grade (Light Blue)
,Witch Hat,14.0,Consumer Grade (Light Blue)
EGG & HAMMER,WAGMI HUB,14.0,Consumer Grade (Light Blue)
,Ginger Cookie,14.0,Consumer Grade (Light Blue)
PUCCA Moods,PUCCA,13.0,Consumer Grade (Light Blue)
,Winter Wreath,13.0,Consumer Grade (Light Blue)
,Pet Snake,13.0,Consumer Grade (Light Blue)
Jester,DOGS OG,13.0,Consumer Grade (Light Blue)
Nerd,DOGS OG,12.0,Consumer Grade (Light Blue)
Tattoo Artist,DOGS OG,12.0,Consumer Grade (Light Blue)
Green Hair,DOGS OG,12.0,Consumer Grade (Light Blue)
Smile,DOGS OG,12.0,Consumer Grade (Light Blue)
Cook,DOGS OG,12.0,Consumer Grade (Light Blue)
Baseball Bat,DOGS OG,11.0,Consumer Grade (Light Blue)
Termidogtor,DOGS OG,11.0,Consumer Grade (Light Blue)
Cap,Blum,11.0,Consumer Grade (Light Blue)
NGMI,Kudai,11.0,Consumer Grade (Light Blue)
Bodyguard,DOGS OG,11.0,Consumer Grade (Light Blue)
,Spy Agaric,11.0,Consumer Grade (Light Blue)
Sock Head,DOGS OG,11.0,Consumer Grade (Light Blue)
Lost Memeries,Lost Dogs,11.0,Consumer Grade (Light Blue)
Baseball Cap,DOGS OG,11.0,Consumer Grade (Light Blue)
,Jester Hat,11.0,Consumer Grade (Light Blue)
,Spiced Wine,11.0,Consumer Grade (Light Blue)
,Cookie Heart,11.0,Consumer Grade (Light Blue)
,Hypno Lollipop,11.0,Consumer Grade (Light Blue)
,Santa Hat,11.0,Consumer Grade (Light Blue)
Dog Tyson,DOGS OG,10.0,Consumer Grade (Light Blue)
Alumni,DOGS OG,10.0,Consumer Grade (Light Blue)
Scarf,DOGS OG,10.0,Consumer Grade (Light Blue)
Asterix,DOGS OG,10.0,Consumer Grade (Light Blue)
Extra Eyes,DOGS OG,10.0,Consumer Grade (Light Blue)
Anime Ears,DOGS OG,10.0,Consumer Grade (Light Blue)
,Jingle Bells,10.0,Consumer Grade (Light Blue)
,Candy Cane,10.0,Consumer Grade (Light Blue)
Tubeteyka,DOGS OG,9.0,Consumer Grade (Light Blue)
Ushanka,DOGS OG,9.0,Consumer Grade (Light Blue)
,Lunar Snake,9.0,Consumer Grade (Light Blue)
,Snake Box,9.0,Consumer Grade (Light Blue)
,Xmas Stocking,9.0,Consumer Grade (Light Blue)
Alien,DOGS OG,9.0,Consumer Grade (Light Blue)
Gentleman,DOGS OG,9.0,Consumer Grade (Light Blue)
GMI,Kudai,9.0,Consumer Grade (Light Blue)
Sherlock Holmes,DOGS OG,9.0,Consumer Grade (Light Blue)
Tank Driver,DOGS OG,9.0,Consumer Grade (Light Blue)
Tin Foil Hat,DOGS OG,9.0,Consumer Grade (Light Blue)
Cat,Blum,9.0,Consumer Grade (Light Blue)
Van Dogh,DOGS OG,9.0,Consumer Grade (Light Blue)
Pilot,DOGS OG,9.0,Consumer Grade (Light Blue)
Diamond Pixel,Not Pixel,8.0,Consumer Grade (Light Blue)
Cattea Chaos,Cattea Life,8.0,Consumer Grade (Light Blue)
Bunny,Blum,8.0,Consumer Grade (Light Blue)
,Party Sparkler,8.0,Consumer Grade (Light Blue)
Chamomile Valley,Smeshariki,8.0,Consumer Grade (Light Blue)
Zompixel,Not Pixel,7.0,Consumer Grade (Light Blue)
Vice Pixel,Not Pixel,7.0,Consumer Grade (Light Blue)
Pixioznik,Not Pixel,7.0,Consumer Grade (Light Blue)
Pixanos,Not Pixel,7.0,Consumer Grade (Light Blue)
Scary Eyes,DOGS OG,6.0,Consumer Grade (Light Blue)
,Desk Calendar,6.0,Consumer Grade (Light Blue)
,B-Day Candle,6.0,Consumer Grade (Light Blue)
,Homemade Cake,6.0,Consumer Grade (Light Blue)
,Lol Pop,5.0,Consumer Grade (Light Blue)
Panama Hat,DOGS OG,5.0,Consumer Grade (Light Blue)
Blue Eyes Hat,DOGS OG,4.0,Consumer Grade (Light Blue)
Full dig,DOGS Rewards,4.0,Consumer Grade (Light Blue)
Cherry Glasses,DOGS OG,4.0,Consumer Grade (Light Blue)
Teletubby,DOGS OG,4.0,Consumer Grade (Light Blue)
Nose Glasses,DOGS OG,4.0,Consumer Grade (Light Blue)
Dogtor,DOGS OG,4.0,Consumer Grade (Light Blue)
Diver,DOGS OG,4.0,Consumer Grade (Light Blue)
One Piece Sanji,DOGS OG,4.0,Consumer Grade (Light Blue)
Kamikaze,DOGS OG,4.0,Consumer Grade (Light Blue)
Strawberry Hat,DOGS OG,4.0,Consumer Grade (Light Blue)
No,Blum,4.0,Consumer Grade (Light Blue)
DOGS Pixel,Not Pixel,4.0,Consumer Grade (Light Blue)
Hypnotist,DOGS OG,4.0,Consumer Grade (Light Blue)
Bow Tie,DOGS OG,4.0,Consumer Grade (Light Blue)
Robber,DOGS OG,4.0,Consumer Grade (Light Blue)
Witch,DOGS OG,4.0,Consumer Grade (Light Blue)
Gnome,DOGS OG,4.0,Consumer Grade (Light Blue)
Emo Boy,DOGS OG,4.0,Consumer Grade (Light Blue)
Toddler,DOGS OG,4.0,Consumer Grade (Light Blue)
Cyclist,DOGS OG,4.0,Consumer Grade (Light Blue)
Magic of the Way,Lost Dogs,4.0,Consumer Grade (Light Blue)
General,Blum,4.0,Consumer Grade (Light Blue)
Worker,Blum,4.0,Consumer Grade (Light Blue)
SuperPixel,Not Pixel,4.0,Consumer Grade (Light Blue)
Grass Pixel,Not Pixel,4.0,Consumer Grade (Light Blue)
MacPixel,Not Pixel,4.0,Consumer Grade (Light Blue)
Cook,Blum,3.0,Consumer Grade (Light Blue)
Curly,Blum,3.0,Consumer Grade (Light Blue)
